id_booking,rombel,hari,jam_mulai,jam_selesai,ruang,mata_kuliah,status,waktu_booking,durasi_penggunaan,jam_penggunaan,kelas_selesai,waktu_selesai,tipe
592D19A6,2025 C,Senin,07:00,09:30,E2.01.09,Kalkulus Lanjut,batal,2026-01-01 00:00:00,0,,Belum,,booking
0DB4B86F,2025 D,Senin,07:00,09:30,E2.01.02,Teori Probabilitas,batal,2026-01-01 00:00:00,0,,Selesai,2026-05-25 09:15:18,booking
2262EFA5,2025 G,Senin,07:00,09:30,E2.01.08,Interaksi Manusia Dan Komputer,batal,2026-01-01 00:00:00,0,,Belum,,booking
A1B2C3D4,2025 A,Senin,07:00,09:30,E2.02.02/LAB,Struktur Data Dan Algoritma,batal,2026-01-01 00:00:00,0,,Selesai,2026-05-25 09:16:41,booking
59D47EE3,2025 D,Senin,09:30,12:00,E2.01.04,Kalkulus Lanjut,batal,2026-01-01 00:00:00,0,,Selesai,2026-05-25 09:16:53,booking
55B121B2,2025 F,Senin,09:30,12:00,E2.01.08,Teori Probabilitas,aktif,2026-01-01 00:00:00,0,,Selesai,2026-05-25 09:17:09,booking
1D78AC78,2025 G,Senin,09:30,12:00,E2.01.02,Teori Probabilitas,aktif,2026-01-01 00:00:00,0,,Belum,,booking
BB7206C1,INT 25,Senin,09:30,12:00,E2.01.10,Teori Probabilitas,aktif,2026-01-01 00:00:00,0,,Belum,,booking
A2B3C4D5,2025 A,Senin,09:30,12:00,E2.02.02/LAB,Interaksi Manusia Dan Komputer,aktif,2026-01-01 00:00:00,0,,Belum,,booking
44A90D1E,2024 A,Senin,13:00,15:30,E2.01.02,Penambangan Data,aktif,2026-01-01 00:00:00,0,,Belum,,booking
71930D0C,2024 B,Senin,13:00,15:30,E2.01.04,Penambangan Data,aktif,2026-01-01 00:00:00,0,,Belum,,booking
0E8F8BCF,2024 D,Senin,13:00,15:30,E2.01.08,Analisis Data Eksploratif,aktif,2026-01-01 00:00:00,0,,Belum,,booking
A3A648EA,2024 E,Senin,13:00,15:30,E2.01.07,Pembelajaran Mesin,aktif,2026-01-01 00:00:00,0,,Belum,,booking
99E09671,2025 A,Senin,13:00,15:30,E2.01.06,Teori Probabilitas,aktif,2026-01-01 00:00:00,0,,Belum,,booking
